property_name,raw_location,proposed_clean_location,proposed_area_type,priority,square_footage,development_notes
Maddox-Tyndall,Stairwell handrails floors B-11th,Stairwell handrails floors B-11th,Stairwell,Medium Priority,,
Maddox-Tyndall,(all mopped areas),(all mopped areas),Other / Unknown,Low Priority,,
Maddox-Tyndall,All metal thresholds,All metal thresholds,Other / Unknown,Low Priority,,
Maddox-Tyndall,B floor / Ground floor janitor station,B floor / Ground floor janitor station,Storage,Low Priority,,
Maddox-Tyndall,Baseboards,Baseboards,Other / Unknown,Low Priority,,
Maddox-Tyndall,Floors Gr-10th,Floors Gr-10th,Other / Unknown,Low Priority,,
Maddox-Tyndall,Floors Gr-11th,Floors Gr-11th,Other / Unknown,Low Priority,,
Maddox-Tyndall,Glass,Glass,Other / Unknown,Low Priority,,
Maddox-Tyndall,Lease Office,Lease Office,Office / Admin,Low Priority,,
Maddox-Tyndall,Mngr. Office,Mngr. Office,Office / Admin,Low Priority,,
Maddox-Tyndall,Resident doors & thresholds,Resident doors & thresholds,Other / Unknown,Low Priority,,
Maddox-Tyndall,Stairs A Floor (B-10th),Stairs A Floor (B-10th),Stairwell,Low Priority,,
Maddox-Tyndall,Stairs A Floor (B-11th),Stairs A Floor (B-11th),Stairwell,Low Priority,,
Maddox-Tyndall,Stairs B Floor (B-10th),Stairs B Floor (B-10th),Stairwell,Low Priority,,
Maddox-Tyndall,Stairs B Floor (B-11th),Stairs B Floor (B-11th),Stairwell,Low Priority,,
Maddox-Tyndall,"Stairwells doors, frames, thresholds & hinges (top of door)","Stairwells doors, frames, thresholds & hinges (top of door)",Stairwell,Low Priority,,
Maddox-Tyndall,Units,Units,Other / Unknown,Low Priority,,
Maddox-Tyndall,Ventilation and wallpaper around it,Ventilation and wallpaper around it,Other / Unknown,Low Priority,,
Maddox-Tyndall,glass doors,glass doors,Other / Unknown,Low Priority,,
The Parker,2 Washrooms,2 Washrooms,Washroom / Change Room,High Priority,,
The Parker,38th Floor Amenities,38th Floor Amenities,Amenity,High Priority,,
The Parker,38th Floor Bowling Alley,38th Floor Bowling Alley,Amenity,High Priority,,
The Parker,38th Floor Corridor,38th Floor Corridor,Corridor / Hallway,High Priority,,
The Parker,38th Floor Dining/Lounge Area (w/stairs up),38th Floor Dining/Lounge Area (w/stairs up),Amenity,High Priority,,
The Parker,38th Floor Games room,38th Floor Games room,Amenity,High Priority,,
The Parker,38th Floor Garbage Chute,38th Floor Garbage Chute,Waste / Garbage,High Priority,,
The Parker,38th Floor Gym,38th Floor Gym,Fitness,High Priority,,
The Parker,38th Floor Kids Adventure Zone,38th Floor Kids Adventure Zone,Amenity,High Priority,,
The Parker,38th Floor Virtual Medical Clinic,38th Floor Virtual Medical Clinic,Amenity,High Priority,,
The Parker,38th Floor Washroom,38th Floor Washroom,Washroom / Change Room,High Priority,,
The Parker,39th Floor 3 washrooms,39th Floor 3 washrooms,Washroom / Change Room,High Priority,,
The Parker,39th Floor Amenities,39th Floor Amenities,Amenity,High Priority,,
The Parker,39th Floor Corridor,39th Floor Corridor,Corridor / Hallway,High Priority,,
The Parker,39th Floor Entertainment Kitchen,39th Floor Entertainment Kitchen,Amenity,High Priority,,
The Parker,39th Floor Garbage Chute,39th Floor Garbage Chute,Waste / Garbage,High Priority,,
The Parker,39th Floor Gym (upper Level) w/stairs down to 38th flr. Gym,39th Floor Gym (upper Level) w/stairs down to 38th flr. Gym,Fitness,High Priority,,
The Parker,39th Floor Large Lounge (2 floors-down to 38),39th Floor Large Lounge (2 floors-down to 38),Amenity,High Priority,,
The Parker,39th Floor Outdoor Pool w/sitting Areas,39th Floor Outdoor Pool w/sitting Areas,Pool / Spa,High Priority,,
The Parker,39th Floor Yoga Studio,39th Floor Yoga Studio,Fitness,High Priority,,
The Parker,39th Housekeeping Room,39th Housekeeping Room,Storage,High Priority,,
The Parker,39th Storage Rm.,39th Storage Rm.,Storage,High Priority,,
The Parker,3rd Floor Dog Exit,3rd Floor Dog Exit,Corridor / Hallway,High Priority,,
The Parker,3rd Floor Dog Run Area,3rd Floor Dog Run Area,Terrace / Outdoor,High Priority,,
The Parker,3rd Floor Patio,3rd Floor Patio,Terrace / Outdoor,High Priority,,
The Parker,3rd Floor Tiled Exit to patio,3rd Floor Tiled Exit to patio,Corridor / Hallway,High Priority,,
The Parker,4 Elevators,4 Elevators,Elevator,High Priority,,
The Parker,4 Ext. Elevator Doors & Frames,4 Ext. Elevator Doors & Frames,Elevator,High Priority,,
The Parker,Back,Back,Other / Unknown,High Priority,,
The Parker,Barbeque,Barbeque,Terrace / Outdoor,High Priority,,
The Parker,Breezeway/driveway,Breezeway/driveway,Corridor / Hallway,High Priority,,
The Parker,Cafe,Cafe,Amenity,High Priority,,
The Parker,Corridors,Corridors,Corridor / Hallway,High Priority,,
The Parker,Dog Spa,Dog Spa,Amenity,High Priority,,
